Daily_Sales,Number_of_Transactions,Average_Order_Value,Refund_Amount,Expense_Amount,Profit,Inventory_Level,Delivery_Delay_Minutes,Website_Visits,Conversion_Rate,Employee_Hours,System_Error_Count,_sheet,anomaly_score,is_anomaly,num_anomaly_score,text_anomaly_score,_row_index
7390,159,46.48,195,2622,4768,894,21,4941,3.45,459,4,Operational_Data,0.3853,0,0.3853,,32
6482,83,78.1,200,2668,3814,982,23,2146,3.08,420,3,Operational_Data,0.2957,0,0.2957,,33
7184,81,88.69,265,3585,3599,1279,22,3772,3.4,385,4,Operational_Data,0.2681,0,0.2681,,34
6617,146,45.32,254,3082,3535,1377,22,4414,2.44,472,1,Operational_Data,0.1596,0,0.1596,,35
7040,152,46.32,214,4257,2783,818,13,4412,4.86,384,5,Operational_Data,0.3301,0,0.3301,,36
4252,157,27.08,258,3856,396,1162,9,4234,3.6,387,0,Operational_Data,0.3205,0,0.3205,,37
5875,105,55.95,249,3154,2721,863,9,4102,3.21,410,1,Operational_Data,0.0715,0,0.0715,,38
4658,84,55.45,208,4263,395,1035,23,4482,4.32,367,5,Operational_Data,0.3476,0,0.3476,,39
5965,83,71.87,374,3749,2216,811,10,3913,4.9,443,1,Operational_Data,0.3295,0,0.3295,,40
5463,148,36.91,260,2696,2767,802,23,2433,3.05,498,1,Operational_Data,0.3243,0,0.3243,,41
5339,91,58.67,267,3224,2115,1056,11,4279,4.0,492,3,Operational_Data,0.1486,0,0.1486,,42
6278,131,47.92,346,4196,2082,1377,16,4029,4.38,375,4,Operational_Data,0.1791,0,0.1791,,43
4196,83,50.55,308,3832,364,1377,25,4640,4.57,465,0,Operational_Data,0.4099,0,0.4099,,44
6717,113,59.44,305,3039,3678,905,23,3614,2.51,496,4,Operational_Data,0.2101,0,0.2101,,45
6568,139,47.25,165,3477,3091,873,18,4160,3.09,428,4,Operational_Data,0.1192,0,0.1192,,46
6993,123,56.85,193,3435,3558,1212,24,3570,3.42,357,4,Operational_Data,0.1828,0,0.1828,,47
5352,139,38.5,169,3737,1615,857,10,3067,4.71,453,5,Operational_Data,0.2156,0,0.2156,,48
6966,139,50.12,366,3646,3320,1211,19,4457,4.79,482,5,Operational_Data,0.2235,0,0.2235,,49
656,81,82.96,155,7039,-6383,1221,8,2020,4.93,354,31,Operational_Data,0.9905,1,0.9905,,50
4912,91,53.98,349,3641,1271,1242,16,3319,2.12,400,3,Operational_Data,0.1438,0,0.1438,,51
5564,91,61.14,222,3916,1648,1075,8,4392,3.75,462,0,Operational_Data,0.1365,0,0.1365,,52
6476,141,45.93,297,2992,3484,1058,24,4112,3.35,442,2,Operational_Data,0.1128,0,0.1128,,53
5464,116,47.1,296,3695,1769,1324,12,3719,4.14,483,0,Operational_Data,0.1247,0,0.1247,,54
4091,89,45.97,223,4002,89,1071,15,4040,2.99,485,3,Operational_Data,0.2439,0,0.2439,,55
4927,126,39.1,235,3347,1580,1036,8,3752,3.63,420,3,Operational_Data,0.0603,0,0.0603,,56
7572,139,54.47,345,3925,3647,1224,5,2640,4.02,405,0,Operational_Data,0.19,0,0.19,,57
6960,90,77.33,355,3010,3950,1284,9,4262,4.32,362,1,Operational_Data,0.2955,0,0.2955,,58
5211,119,43.79,386,4091,1120,1129,9,2475,4.53,463,1,Operational_Data,0.1749,0,0.1749,,59
5898,118,49.98,236,4297,1601,876,25,3854,3.1,482,2,Operational_Data,0.1724,0,0.1724,,60
7264,91,79.82,186,3801,3463,913,17,4052,4.66,367,1,Operational_Data,0.3303,0,0.3303,,61
4741,146,32.47,194,3079,1662,1032,10,2955,2.52,388,1,Operational_Data,0.1678,0,0.1678,,62
5125,139,36.87,392,4365,760,1215,8,3374,3.88,493,1,Operational_Data,0.2576,0,0.2576,,63
7567,154,49.14,247,4090,3477,965,20,2938,2.06,490,5,Operational_Data,0.3082,0,0.3082,,64
5037,156,32.29,368,2793,2244,951,15,3986,2.97,452,5,Operational_Data,0.2693,0,0.2693,,65
6861,116,59.15,287,3102,3759,991,5,4583,2.32,482,2,Operational_Data,0.2111,0,0.2111,,66
7564,134,56.45,295,3975,3589,1174,24,2361,3.34,431,5,Operational_Data,0.1482,0,0.1482,,67
5490,138,39.78,352,2629,2861,1183,8,4165,4.6,438,3,Operational_Data,0.1992,0,0.1992,,68
6151,98,62.77,323,2874,3277,1235,11,3002,2.99,442,4,Operational_Data,0.0894,0,0.0894,,69
843,95,64.69,380,5757,-4914,1073,7,2325,2.04,472,48,Operational_Data,0.9083,1,0.9083,,70
7135,99,72.07,110,2511,4624,1446,21,3928,3.58,352,4,Operational_Data,0.4458,1,0.4458,,71
7177,91,78.87,318,4259,2918,1184,23,3229,2.18,363,3,Operational_Data,0.3131,0,0.3131,,72
7003,113,61.97,398,2513,4490,1003,8,4092,2.16,366,0,Operational_Data,0.3601,0,0.3601,,73
822,108,61.63,375,6065,-5243,829,20,2581,3.93,421,30,Operational_Data,0.7566,1,0.7566,,74
5619,85,66.11,312,3542,2077,870,15,2273,2.91,429,4,Operational_Data,0.1815,0,0.1815,,75
4216,121,34.84,131,3817,399,1417,24,2836,4.57,386,3,Operational_Data,0.4095,0,0.4095,,76
5699,118,48.3,344,4112,1587,957,17,2722,2.19,366,2,Operational_Data,0.1582,0,0.1582,,77
640,104,49.79,180,5394,-4754,850,9,2353,2.86,432,25,Operational_Data,0.7574,1,0.7574,,78
4335,121,35.83,386,2718,1617,940,11,3214,3.68,416,4,Operational_Data,0.2674,0,0.2674,,79
7439,108,68.88,123,3053,4386,1469,19,2877,2.39,480,5,Operational_Data,0.4029,0,0.4029,,80
7928,104,76.23,268,3349,4579,947,10,4167,4.87,436,0,Operational_Data,0.2983,0,0.2983,,81
7131,92,77.51,335,3112,4019,909,22,3621,3.32,431,0,Operational_Data,0.2023,0,0.2023,,82
4431,87,50.93,104,3156,1275,954,14,2087,4.24,354,5,Operational_Data,0.4561,1,0.4561,,83
7760,81,95.8,169,4267,3493,1326,15,2097,2.94,429,4,Operational_Data,0.3592,0,0.3592,,84
5145,95,54.16,276,3757,1388,850,7,2803,3.36,450,1,Operational_Data,0.1687,0,0.1687,,85
7531,103,73.12,124,3393,4138,1374,15,4453,3.28,442,4,Operational_Data,0.1854,0,0.1854,,86
5039,150,33.59,211,3329,1710,901,24,4313,2.61,488,4,Operational_Data,0.2553,0,0.2553,,87
920,127,59.47,260,7532,-6612,1498,13,3848,3.75,466,32,Operational_Data,0.8657,1,0.8657,,88
7945,93,85.43,117,3768,4177,1167,21,2718,4.01,463,4,Operational_Data,0.3492,0,0.3492,,89
7842,90,87.13,187,3120,4722,1231,9,3605,4.24,360,5,Operational_Data,0.4237,1,0.4237,,90
7553,144,52.45,365,2820,4733,1137,16,4949,2.27,479,4,Operational_Data,0.3673,0,0.3673,,91
4507,143,31.52,282,3696,811,1000,13,2028,2.26,367,5,Operational_Data,0.3468,0,0.3468,,92
4799,118,40.67,224,3327,1472,1002,7,4379,3.12,370,4,Operational_Data,0.1417,0,0.1417,,93
7456,127,58.71,398,4023,3433,829,9,4604,2.76,462,1,Operational_Data,0.2619,0,0.2619,,94
5410,132,40.98,394,2910,2500,905,9,3414,3.41,366,4,Operational_Data,0.2284,0,0.2284,,95
5087,136,37.4,176,3724,1363,1043,16,2763,3.75,471,1,Operational_Data,0.1183,0,0.1183,,96
6311,99,63.75,149,4335,1976,1413,6,3571,3.6,420,4,Operational_Data,0.2302,0,0.2302,,97
7484,160,46.77,296,3793,3691,1428,6,4664,3.58,488,0,Operational_Data,0.3992,0,0.3992,,98
4100,142,28.87,194,3690,410,822,22,4874,2.58,387,0,Operational_Data,0.4884,1,0.4884,,99
7460,120,62.17,263,2946,4514,967,16,3165,2.38,478,3,Operational_Data,0.1931,0,0.1931,,100
7226,116,62.29,394,3580,3646,1245,11,3252,3.37,350,5,Operational_Data,0.3054,0,0.3054,,101
5319,117,45.46,204,3824,1495,1463,13,4354,3.1,497,4,Operational_Data,0.211,0,0.211,,102
6180,100,61.8,286,2616,3564,1122,19,4104,3.76,359,5,Operational_Data,0.2207,0,0.2207,,103
5167,88,58.72,340,3764,1403,1242,11,4989,2.61,465,4,Operational_Data,0.1685,0,0.1685,,104
6544,118,55.46,134,2634,3910,1215,22,3233,4.15,453,3,Operational_Data,0.1505,0,0.1505,,105
5758,94,61.26,181,3362,2396,877,21,4626,3.58,360,3,Operational_Data,0.211,0,0.211,,106
6162,105,58.69,274,2771,3391,1458,14,4217,2.27,374,0,Operational_Data,0.2078,0,0.2078,,107
4008,86,46.6,180,4258,-250,1477,6,4861,2.6,354,4,Operational_Data,0.5139,1,0.5139,,108
7341,107,68.61,291,3210,4131,1220,5,2890,3.63,423,1,Operational_Data,0.1615,0,0.1615,,109
6973,93,74.98,362,4380,2593,1054,24,3006,4.32,405,1,Operational_Data,0.2175,0,0.2175,,110
6164,142,43.41,132,4400,1764,969,17,2380,2.92,437,3,Operational_Data,0.1418,0,0.1418,,111
4015,141,28.48,348,3829,186,875,5,2733,4.83,360,4,Operational_Data,0.4808,1,0.4808,,112
6787,82,82.77,122,3003,3784,1361,23,4963,3.08,362,0,Operational_Data,0.5085,1,0.5085,,113
6621,99,66.88,351,2636,3985,1152,19,4111,4.68,482,3,Operational_Data,0.2508,0,0.2508,,114
4136,100,41.36,288,2636,1500,1459,5,4675,3.94,478,2,Operational_Data,0.4209,1,0.4209,,115
4577,145,31.57,295,4451,126,1275,22,4296,4.06,477,5,Operational_Data,0.2856,0,0.2856,,116
6034,80,75.42,159,2710,3324,1136,21,4132,2.17,466,4,Operational_Data,0.3464,0,0.3464,,117
448,100,53.14,143,5343,-4895,1115,22,2764,3.08,472,29,Operational_Data,0.7415,1,0.7415,,118
478,118,43.19,349,8549,-8071,969,6,2924,2.13,353,39,Operational_Data,0.9672,1,0.9672,,119
6070,99,61.31,218,3971,2099,1003,13,2121,2.71,490,0,Operational_Data,0.2415,0,0.2415,,120
4189,86,48.71,287,4177,12,1008,14,4652,2.16,354,3,Operational_Data,0.3424,0,0.3424,,121
905,110,44.32,202,6391,-5486,839,24,4109,4.46,493,39,Operational_Data,0.8989,1,0.8989,,122
4786,94,50.91,173,2943,1843,1057,19,4298,2.33,413,3,Operational_Data,0.1296,0,0.1296,,123
4659,87,53.55,237,4304,355,815,22,4922,4.7,440,5,Operational_Data,0.3625,0,0.3625,,124
7366,107,68.84,254,4020,3346,1063,9,3192,3.46,436,0,Operational_Data,0.1267,0,0.1267,,125
7075,91,77.75,380,3113,3962,1124,13,3648,4.71,491,1,Operational_Data,0.3005,0,0.3005,,126
6624,151,43.87,331,3399,3225,1344,11,3120,3.54,440,3,Operational_Data,0.1251,0,0.1251,,127
4460,144,30.97,324,4248,212,1130,11,3255,4.75,386,0,Operational_Data,0.276,0,0.276,,128
6302,139,45.34,115,2519,3783,1142,18,3443,3.84,388,3,Operational_Data,0.1824,0,0.1824,,129
5592,139,40.23,395,3794,1798,816,12,4741,3.54,422,1,Operational_Data,0.2364,0,0.2364,,130
7992,151,52.93,224,3363,4629,1125,22,2345,4.77,444,0,Operational_Data,0.3128,0,0.3128,,131
7024,136,51.65,142,3766,3258,892,21,3779,4.58,350,4,Operational_Data,0.2966,0,0.2966,,132
5341,88,60.69,271,3430,1911,1301,13,3890,4.4,370,0,Operational_Data,0.1876,0,0.1876,,133
6875,145,47.41,103,2891,3984,1040,18,4809,4.77,409,1,Operational_Data,0.3161,0,0.3161,,134
6059,154,39.34,385,3188,2871,1122,14,3558,2.59,386,3,Operational_Data,0.1596,0,0.1596,,135
6754,156,43.29,112,4227,2527,1081,19,3280,4.45,414,0,Operational_Data,0.2539,0,0.2539,,136
6887,131,52.57,331,3190,3697,905,19,4033,3.21,402,1,Operational_Data,0.105,0,0.105,,137
5391,88,61.26,190,3456,1935,1274,25,3156,2.4,383,4,Operational_Data,0.1525,0,0.1525,,138
5266,153,34.42,149,3050,2216,853,7,4734,2.67,442,1,Operational_Data,0.2605,0,0.2605,,139
4293,142,30.23,388,3453,840,1393,8,3461,3.71,451,3,Operational_Data,0.3331,0,0.3331,,140
6337,102,62.13,124,2781,3556,1225,16,3227,3.66,491,3,Operational_Data,0.2,0,0.2,,141
7032,93,75.61,216,3986,3046,1119,6,3145,2.62,446,3,Operational_Data,0.154,0,0.154,,142
6239,139,44.88,192,2723,3516,1152,12,4297,2.38,482,4,Operational_Data,0.1649,0,0.1649,,143
6835,92,74.29,272,2795,4040,1073,14,4542,4.68,436,2,Operational_Data,0.1939,0,0.1939,,144
7549,132,57.19,233,3421,4128,1134,19,4946,2.85,393,4,Operational_Data,0.2235,0,0.2235,,145
7976,148,53.89,235,3231,4745,1386,19,3705,3.98,388,4,Operational_Data,0.2636,0,0.2636,,146
4586,92,49.85,263,4076,510,1461,19,2433,2.01,402,2,Operational_Data,0.3192,0,0.3192,,147
5135,84,61.13,217,3713,1422,901,14,2064,4.22,395,0,Operational_Data,0.278,0,0.278,,148
4226,116,36.43,284,2592,1634,961,13,3452,4.91,444,3,Operational_Data,0.2817,0,0.2817,,149
4616,80,57.7,204,2951,1665,1258,13,4892,4.96,444,4,Operational_Data,0.3372,0,0.3372,,150
7481,106,70.58,118,3906,3575,1481,19,2267,3.38,494,1,Operational_Data,0.3611,0,0.3611,,151
4810,155,31.03,299,4313,497,1395,20,2250,3.15,491,4,Operational_Data,0.3866,0,0.3866,,152
6877,90,76.41,334,2791,4086,1399,14,3000,4.61,405,3,Operational_Data,0.254,0,0.254,,153
7122,87,81.86,238,2671,4451,844,12,4762,2.96,411,5,Operational_Data,0.2993,0,0.2993,,154
6789,89,76.28,315,4411,2378,1075,18,4183,3.03,413,0,Operational_Data,0.1947,0,0.1947,,155
510,106,75.27,328,6987,-6477,1306,13,4509,2.06,371,44,Operational_Data,0.9307,1,0.9307,,156
4632,120,38.6,252,3300,1332,1014,8,4712,3.53,409,2,Operational_Data,0.1241,0,0.1241,,157
4313,144,29.95,291,2775,1538,1144,6,4480,3.03,496,5,Operational_Data,0.3627,0,0.3627,,158
6644,111,59.86,338,3608,3036,1138,15,3976,3.87,393,4,Operational_Data,0.0585,0,0.0585,,159
6596,123,53.63,366,2668,3928,883,16,4123,2.46,377,4,Operational_Data,0.2044,0,0.2044,,160
7903,117,67.55,194,4185,3718,805,11,3745,2.74,457,0,Operational_Data,0.3461,0,0.3461,,161
6705,148,45.3,316,3460,3245,1409,6,2213,2.08,481,1,Operational_Data,0.3908,0,0.3908,,162
5549,159,34.9,109,4215,1334,1173,20,4752,4.13,355,0,Operational_Data,0.3948,0,0.3948,,163
6920,150,46.13,142,3433,3487,930,23,4213,4.85,497,4,Operational_Data,0.325,0,0.325,,164
4441,147,30.21,124,3870,571,1356,13,3171,4.95,473,3,Operational_Data,0.3764,0,0.3764,,165
5823,125,46.58,135,3795,2028,1153,20,2111,3.43,394,0,Operational_Data,0.189,0,0.189,,166
7019,123,57.07,349,4353,2666,1026,10,2626,4.44,357,3,Operational_Data,0.2349,0,0.2349,,167
6445,141,45.71,326,4034,2411,1109,8,2700,4.54,411,4,Operational_Data,0.1404,0,0.1404,,168
6656,109,61.06,213,3448,3208,844,17,4761,3.75,449,2,Operational_Data,0.0929,0,0.0929,,169
7218,128,56.39,362,3120,4098,902,22,2040,2.57,454,1,Operational_Data,0.277,0,0.277,,170
4951,120,41.26,175,2777,2174,884,5,3273,2.11,410,2,Operational_Data,0.2539,0,0.2539,,171
6615,142,46.58,294,4263,2352,1125,13,4653,2.37,404,5,Operational_Data,0.1718,0,0.1718,,172
7020,87,80.69,381,3732,3288,1439,12,3430,2.77,409,1,Operational_Data,0.253,0,0.253,,173
6340,146,43.42,285,3825,2515,815,25,4954,4.79,478,4,Operational_Data,0.3594,0,0.3594,,174
4273,127,33.65,118,2548,1725,918,5,4242,4.22,469,2,Operational_Data,0.3885,0,0.3885,,175
4190,85,49.29,333,3707,483,1492,13,2814,2.09,439,1,Operational_Data,0.3721,0,0.3721,,176
7755,104,74.57,256,4265,3490,803,22,2396,4.6,458,3,Operational_Data,0.3313,0,0.3313,,177
4744,143,33.17,252,3228,1516,1276,18,4835,2.76,351,1,Operational_Data,0.2375,0,0.2375,,178
5602,154,36.38,277,3998,1604,1087,12,2988,2.68,492,2,Operational_Data,0.1806,0,0.1806,,179
4929,142,34.71,263,3274,1655,912,6,3338,2.79,472,2,Operational_Data,0.1502,0,0.1502,,180
7209,111,64.95,327,3448,3761,1192,25,4469,4.35,408,5,Operational_Data,0.2072,0,0.2072,,181
7188,129,55.72,298,3973,3215,867,13,4043,2.99,414,2,Operational_Data,0.0768,0,0.0768,,182
7780,81,96.05,100,2803,4977,1145,13,4386,3.46,413,2,Operational_Data,0.4556,1,0.4556,,183
4148,145,28.61,331,2584,1564,1300,15,4114,2.99,456,4,Operational_Data,0.2688,0,0.2688,,184
6265,146,42.91,241,2575,3690,1304,24,4567,2.16,488,5,Operational_Data,0.3056,0,0.3056,,185
7951,131,60.69,344,3229,4722,1052,22,3865,4.83,446,2,Operational_Data,0.2308,0,0.2308,,186
7554,117,64.56,299,3627,3927,1486,7,3709,2.07,422,1,Operational_Data,0.283,0,0.283,,187
4034,154,26.19,228,3102,932,1301,11,2273,2.75,421,3,Operational_Data,0.3007,0,0.3007,,188
4247,156,27.22,166,3510,737,973,6,2314,3.47,394,0,Operational_Data,0.3744,0,0.3744,,189
296,91,78.24,169,6884,-6588,921,9,4214,2.44,416,33,Operational_Data,0.9033,1,0.9033,,190
970,109,63.7,108,7460,-6490,1065,8,2400,4.13,480,18,Operational_Data,0.8307,1,0.8307,,191
5739,102,56.26,399,3134,2605,1457,14,4265,4.98,363,4,Operational_Data,0.355,0,0.355,,192
6345,105,60.43,145,3186,3159,1327,25,2954,2.13,436,1,Operational_Data,0.2349,0,0.2349,,193
5523,150,36.82,266,3652,1871,1365,25,4860,3.92,471,1,Operational_Data,0.2483,0,0.2483,,194
7542,120,62.85,235,3457,4085,1473,16,3592,3.37,417,3,Operational_Data,0.1219,0,0.1219,,195
7735,94,82.29,267,3857,3878,1111,7,4922,4.98,394,3,Operational_Data,0.345,0,0.345,,196
4541,108,42.05,108,3728,813,1467,13,2893,2.41,401,1,Operational_Data,0.25,0,0.25,,197
7670,121,63.39,126,3460,4210,804,19,3871,2.57,447,4,Operational_Data,0.2633,0,0.2633,,198
6637,147,45.15,395,2838,3799,852,23,2681,2.45,389,2,Operational_Data,0.3071,0,0.3071,,199
7778,103,75.51,235,2936,4842,1070,14,3984,2.01,431,4,Operational_Data,0.2511,0,0.2511,,200
889,124,55.48,400,5632,-4743,951,9,2857,2.12,380,34,Operational_Data,0.7566,1,0.7566,,201
7596,118,64.37,274,4236,3360,1272,6,3862,2.13,377,5,Operational_Data,0.2928,0,0.2928,,202
6784,130,52.18,242,3120,3664,1440,9,3001,3.46,420,3,Operational_Data,0.1462,0,0.1462,,203
4091,151,27.09,217,4126,-35,1348,15,2183,3.25,373,5,Operational_Data,0.4276,1,0.4276,,204
5768,137,42.1,124,4243,1525,1153,21,2615,3.87,396,1,Operational_Data,0.1558,0,0.1558,,205
6333,145,43.68,326,3205,3128,1300,24,3327,3.19,396,4,Operational_Data,0.1086,0,0.1086,,206
5951,104,57.22,272,3705,2246,960,23,4716,2.48,470,1,Operational_Data,0.1236,0,0.1236,,207
6875,128,53.71,232,4032,2843,930,8,4814,2.07,443,5,Operational_Data,0.2415,0,0.2415,,208
6981,101,69.12,393,4146,2835,820,14,3752,3.47,355,2,Operational_Data,0.2515,0,0.2515,,209
5784,87,66.48,314,2548,3236,1355,23,4799,2.6,363,0,Operational_Data,0.3144,0,0.3144,,210
5675,135,42.04,100,3042,2633,890,6,2377,2.91,433,4,Operational_Data,0.2596,0,0.2596,,211
5595,83,67.41,159,3463,2132,1405,22,4493,3.38,465,5,Operational_Data,0.2952,0,0.2952,,212
7382,102,72.37,122,2646,4736,1390,22,3584,2.67,478,4,Operational_Data,0.3445,0,0.3445,,213
945,87,67.31,391,7870,-6925,848,11,2117,2.18,471,49,Operational_Data,1.0,1,1.0,,214
4308,120,35.9,112,3346,962,1217,20,3734,3.14,408,2,Operational_Data,0.1845,0,0.1845,,215
4439,94,47.22,287,3258,1181,1042,5,3382,2.39,372,1,Operational_Data,0.2419,0,0.2419,,216
7201,132,54.55,243,3661,3540,1045,10,2240,3.0,400,4,Operational_Data,0.1249,0,0.1249,,217
7684,146,52.63,366,3936,3748,1157,21,3899,4.56,490,3,Operational_Data,0.2858,0,0.2858,,218
6648,114,58.32,371,3256,3392,1220,7,4021,2.34,402,2,Operational_Data,0.1608,0,0.1608,,219
7715,124,62.22,352,3772,3943,1167,18,3239,2.93,403,1,Operational_Data,0.1395,0,0.1395,,220
4338,82,52.9,112,4093,245,1491,22,2268,4.02,397,4,Operational_Data,0.4664,1,0.4664,,221
5364,159,33.74,340,4012,1352,1148,6,2987,2.59,405,5,Operational_Data,0.2256,0,0.2256,,222
4229,82,51.57,182,3298,931,837,18,3009,4.29,420,3,Operational_Data,0.3149,0,0.3149,,223
6378,97,65.75,126,4422,1956,829,9,3271,4.2,500,2,Operational_Data,0.3579,0,0.3579,,224
6794,153,44.41,239,2503,4291,981,18,3349,4.67,453,4,Operational_Data,0.2476,0,0.2476,,225
4715,125,37.72,195,3327,1388,1274,21,3130,3.26,474,3,Operational_Data,0.084,0,0.084,,226
5590,139,40.22,139,2904,2686,926,20,2795,3.18,383,3,Operational_Data,0.1652,0,0.1652,,227
4557,134,34.01,146,3231,1326,1308,5,4198,2.02,497,0,Operational_Data,0.4304,1,0.4304,,228
6644,93,71.44,204,4311,2333,1155,23,3893,2.09,350,5,Operational_Data,0.3574,0,0.3574,,229
7427,107,69.41,186,3798,3629,1449,24,2363,2.22,377,2,Operational_Data,0.3304,0,0.3304,,230
5275,146,36.13,318,4173,1102,1118,25,4800,4.72,420,3,Operational_Data,0.244,0,0.244,,231
7369,114,64.64,124,4404,2965,861,22,4807,3.56,375,5,Operational_Data,0.3698,0,0.3698,,232
439,89,55.62,188,6586,-6147,1034,12,4889,2.6,391,29,Operational_Data,0.8268,1,0.8268,,233
5616,95,59.12,210,3380,2236,1244,20,4582,4.72,468,0,Operational_Data,0.1567,0,0.1567,,234
6032,126,47.87,170,3355,2677,1404,25,3807,4.44,410,1,Operational_Data,0.176,0,0.176,,235
4623,134,34.5,326,3874,749,1466,17,2992,3.88,398,2,Operational_Data,0.2317,0,0.2317,,236
5028,107,46.99,357,3963,1065,901,17,3993,3.93,405,5,Operational_Data,0.1467,0,0.1467,,237
5124,159,32.23,167,3999,1125,1413,20,3749,2.9,483,2,Operational_Data,0.3027,0,0.3027,,238
7052,98,71.96,188,4297,2755,1071,25,2677,3.95,483,0,Operational_Data,0.2618,0,0.2618,,239
5267,153,34.42,289,2647,2620,824,24,4351,2.47,422,0,Operational_Data,0.3559,0,0.3559,,240
255,128,42.66,322,8144,-7889,971,12,2777,4.74,354,16,Operational_Data,0.8658,1,0.8658,,241
4775,151,31.62,341,2704,2071,994,8,4804,4.39,478,5,Operational_Data,0.3754,0,0.3754,,242
6327,148,42.75,299,4039,2288,1213,23,3517,2.48,366,4,Operational_Data,0.1894,0,0.1894,,243
7508,135,55.61,242,3300,4208,1295,23,3969,2.0,355,0,Operational_Data,0.3195,0,0.3195,,244
4360,85,51.29,291,3922,438,1207,8,4909,4.92,484,2,Operational_Data,0.3782,0,0.3782,,245
6312,121,52.17,141,3386,2926,979,14,4778,4.48,390,4,Operational_Data,0.1652,0,0.1652,,246
7149,116,61.63,167,4490,2659,1158,5,3259,4.75,458,4,Operational_Data,0.2546,0,0.2546,,247
6268,139,45.09,328,4262,2006,1191,16,2950,2.25,354,1,Operational_Data,0.2447,0,0.2447,,248
6045,130,46.5,247,3585,2460,1063,18,3810,3.45,485,3,Operational_Data,0.0662,0,0.0662,,249
4167,123,33.88,342,2750,1417,1304,21,2251,3.06,470,0,Operational_Data,0.2897,0,0.2897,,250
5153,159,32.41,207,4402,751,1033,14,4518,2.56,378,0,Operational_Data,0.2781,0,0.2781,,251
